Volkswagen,Scirocco,1986,1.19,false
Dodge,Caravan,2005,8.33,true
Ford,F250,1984,9.4,false
GMC,3500,1997,8.26,true
Buick,Electra,1986,7.44,false
Dodge,Caravan,2002,5.49,false
Audi,A8,1997,3.48,true
GMC,Yukon,2007,2.87,false
Chevrolet,Impala,1996,7.3,true
Dodge,Ram Van 1500,1996,4.33,false
Ford,Taurus,1991,2.3,true
Volkswagen,Jetta,2010,5.23,false
Mazda,MX-3,1995,7.75,true
Merkur,XR4Ti,1985,8.77,false
Audi,A6,1999,3.32,true
Volkswagen,GTI,2007,8.58,true
Toyota,TundraMax,2012,3.01,true
Mitsubishi,Galant,1986,3.45,false
Land Rover,Range Rover Sport,2008,1.83,true
Subaru,SVX,1997,6.18,false
Honda,Odyssey,2008,6.19,true
Volvo,S60,2002,8.6,false
Hyundai,Elantra,2007,9.78,false
Toyota,Celica,1993,9.03,true
Porsche,Panamera,2010,9.57,true
Honda,Accord,1989,8.61,true
Ford,E150,1984,5.04,false
Mazda,B-Series Plus,1992,5.36,true
Mazda,Protege,2000,4.19,false
Honda,Passport,1994,7.55,true
Kia,Rio,2001,9.65,true
Mazda,Tribute,2002,5.17,false
Buick,Coachbuilder,1992,5.05,false
Chrysler,PT Cruiser,2006,9.7,true
Mazda,RX-7,1988,5.91,false
Infiniti,G,2011,3.56,false
Honda,Accord,2003,7.15,false
Chevrolet,Lumina,2001,5.54,true
Pontiac,Bonneville,1999,4.54,false
Lexus,GS,2009,2.47,false
BMW,Z4,2004,8.7,false
Hyundai,Elantra,2002,1.39,true
Ford,Econoline E150,2002,9.84,true
Buick,Riviera,1979,2.13,true
Nissan,Armada,2008,2.98,false
Ford,Taurus,2004,4.39,true
Pontiac,G8,2009,1.03,false
GMC,Vandura G3500,1995,1.47,true
Dodge,Ram 1500,2008,9.43,false
Lexus,GS,2002,2.75,true
Ford,Mustang,1999,5.33,false
GMC,Envoy,2004,1.06,true
Audi,A6,2010,3.32,true
Mazda,MX-5,2003,8.22,false
Volkswagen,Eurovan,1995,3.04,false
Suzuki,Samurai,1994,8.19,true
Lexus,IS,2012,3.76,false
Jaguar,XJ,2012,3.35,false
Bentley,Arnage,2009,4.98,true
Aston Martin,V8 Vantage,2007,9.92,true
Volvo,S40,2001,5.65,false
Alfa Romeo,164,1995,2.99,false
Ford,Fusion,2011,3.75,true
Lexus,LX,1998,4.63,true
Pontiac,GTO,1973,3.96,true
Mercury,Mystique,1996,6.13,true
Ford,F-250 Super Duty,2006,8.03,true
Mercedes-Benz,300SE,1993,1.21,false
Volkswagen,Eos,2007,3.47,false
Lincoln,Mark VIII,1995,8.24,false
Dodge,Shadow,1992,6.25,true
Chevrolet,Tahoe,2012,8.62,true
Chevrolet,Avalanche 1500,2006,5.97,true
Porsche,911,1995,1.9,true
Chevrolet,Express 1500,2006,5.44,true
Volkswagen,Jetta,2008,8.44,false
Toyota,Avalon,2003,7.0,true
Dodge,Caravan,2011,4.64,false
Ford,F-Series,2007,1.96,false
Kia,Sportage,2010,2.61,false
Cadillac,DeVille,1994,8.18,false
Nissan,Sentra,2012,8.25,true
BMW,X5,2012,4.9,false
Land Rover,Discovery,2011,2.59,false
Dodge,Ram 2500 Club,1995,2.99,false
BMW,Z4 M Roadster,2009,9.67,false
Volvo,S40,2002,6.61,true
Pontiac,Grand Prix,1980,4.96,true
Volkswagen,Cabriolet,2000,3.3,false
Hyundai,Santa Fe,2001,4.5,true
Cadillac,Fleetwood,1954,9.31,true
Nissan,NV1500,2012,2.07,false
Mazda,B2000,1985,1.21,true
Maserati,Coupe,2006,5.81,true
Dodge,Ram 2500,2002,9.16,false
Toyota,Yaris,2011,3.8,false
BMW,X5 M,2013,1.39,false
Honda,Civic,1998,5.94,false
Lexus,SC,2008,5.11,true
